=== Hivemind one deployment 0 -> 50 -> 1 ===
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/1 pods_running=0 scheduled=1 total=1 op=16164 commit=16164 attempt=1/900
ready scenario=single entity=hm-scale-single-hmctrid-20260503013407 expected=1 attempt=2 op=16165 commit=16165 pods=1/1/1
zero_ready scenario=single entity=hm-scale-single-hmctrid-20260503013407 attempt=1 op=16167 commit=16167
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16223 commit=16222 attempt=1/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=2/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=3/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=4/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=5/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=6/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=7/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=8/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=9/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=10/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=11/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=12/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=13/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=14/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=15/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=16/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=17/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=18/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=19/1500
waiting scenario=single entity=hm-scale-single-hmctrid-20260503013407 ready=0/50 pods_running=0 scheduled=50 total=50 op=16278 commit=16278 attempt=20/1500
ready scenario=single entity=hm-scale-single-hmctrid-20260503013407 expected=50 attempt=21 op=16328 commit=16328 pods=50/50/50
ready scenario=single entity=hm-scale-single-hmctrid-20260503013407 expected=1 attempt=1 op=16329 commit=16329 pods=1/1/1
single create submit: 172ms
single 0->50 submit: 177ms
single 0->50 ready: 8191ms
single 50->1 submit: 190ms
single 50->1 ready: 447ms

=== Hivemind 50 deployments x 1 replica ===
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=21/50 pods_running=21 scheduled=38 total=50 op=16663 commit=16663 attempt=1/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=21/50 pods_running=21 scheduled=38 total=50 op=16663 commit=16663 attempt=2/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=21/50 pods_running=21 scheduled=38 total=50 op=16663 commit=16663 attempt=3/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=21/50 pods_running=21 scheduled=38 total=50 op=16663 commit=16663 attempt=4/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=21/50 pods_running=21 scheduled=38 total=50 op=16663 commit=16663 attempt=5/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=21/50 pods_running=21 scheduled=38 total=50 op=16663 commit=16663 attempt=6/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=21/50 pods_running=21 scheduled=38 total=50 op=16663 commit=16663 attempt=7/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=21/50 pods_running=21 scheduled=38 total=50 op=16663 commit=16663 attempt=8/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=21/50 pods_running=21 scheduled=38 total=50 op=16663 commit=16663 attempt=9/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=38/50 pods_running=38 scheduled=38 total=50 op=16680 commit=16680 attempt=10/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=38/50 pods_running=38 scheduled=38 total=50 op=16680 commit=16680 attempt=11/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=38/50 pods_running=38 scheduled=38 total=50 op=16680 commit=16680 attempt=12/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=38/50 pods_running=38 scheduled=38 total=50 op=16680 commit=16680 attempt=13/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=38/50 pods_running=38 scheduled=38 total=50 op=16680 commit=16680 attempt=14/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=38/50 pods_running=38 scheduled=38 total=50 op=16680 commit=16680 attempt=15/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=38/50 pods_running=38 scheduled=38 total=50 op=16680 commit=16680 attempt=16/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=38/50 pods_running=38 scheduled=38 total=50 op=16680 commit=16680 attempt=17/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=38/50 pods_running=38 scheduled=38 total=50 op=16680 commit=16680 attempt=18/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=38/50 pods_running=38 scheduled=38 total=50 op=16680 commit=16680 attempt=19/1500
waiting scenario=multi_50x1 entity=hm-scale-many-hmctrid-20260503013407 ready=38/50 pods_running=38 scheduled=38 total=50 op=16680 commit=16680 attempt=20/1500
